table_name,column_name,data_type,not_null,default_value,primary_key,row_count
alembic_version,version_num,VARCHAR(32),1,,1,1
event,id,INTEGER,1,,1,17
event,name,VARCHAR(100),1,,0,17
event,date,DATETIME,1,,0,17
event,description,TEXT,0,,0,17
event,event_type,VARCHAR(50),1,,0,17
event,template_id,INTEGER,0,,0,17
event,availability_locked,BOOLEAN,0,,0,17
event_team_requirement,id,INTEGER,1,,1,218
event_team_requirement,event_id,INTEGER,1,,0,218
event_team_requirement,team_id,INTEGER,1,,0,218
event_team_requirement,role_id,INTEGER,1,,0,218
event_template,id,INTEGER,1,,1,3
event_template,name,VARCHAR(100),1,,0,3
event_template,description,TEXT,0,,0,3
role,id,INTEGER,1,,1,14
role,name,VARCHAR(100),1,,0,14
role,is_lead,BOOLEAN,0,,0,14
team,id,INTEGER,1,,1,2
team,name,VARCHAR(100),1,,0,2
team_role,id,INTEGER,1,,1,14
team_role,team_id,INTEGER,0,,0,14
team_role,role_id,INTEGER,0,,0,14
team_role,template_id,INTEGER,0,,0,14
template_team_role,id,INTEGER,1,,1,35
template_team_role,template_id,INTEGER,1,,0,35
template_team_role,team_id,INTEGER,1,,0,35
template_team_role,role_id,INTEGER,1,,0,35
volunteer,id,INTEGER,1,,1,9
volunteer,name,VARCHAR(100),1,,0,9
volunteer,email,VARCHAR(100),0,,0,9
volunteer,phone,VARCHAR(20),0,,0,9
volunteer,password_hash,VARCHAR(128),0,,0,9
volunteer,is_admin,BOOLEAN,0,,0,9
volunteer_assignment,id,INTEGER,1,,1,6
volunteer_assignment,volunteer_id,INTEGER,1,,0,6
volunteer_assignment,event_id,INTEGER,1,,0,6
volunteer_assignment,team_id,INTEGER,1,,0,6
volunteer_assignment,role_id,INTEGER,1,,0,6
volunteer_availability,id,INTEGER,1,,1,10
volunteer_availability,volunteer_id,INTEGER,1,,0,10
volunteer_availability,event_id,INTEGER,1,,0,10
volunteer_availability,team_id,INTEGER,1,,0,10
volunteer_availability,status,VARCHAR(10),1,,0,10
volunteer_team,volunteer_id,INTEGER,0,,0,1
volunteer_team,team_id,INTEGER,0,,0,1
volunteer_team_role,id,INTEGER,1,,1,27
volunteer_team_role,volunteer_id,INTEGER,0,,0,27
volunteer_team_role,team_id,INTEGER,0,,0,27
volunteer_team_role,role_id,INTEGER,0,,0,27
volunteer_team_role,is_lead,BOOLEAN,0,,0,27
